"claim_id","customer_id","incident_cause","claim_date_raw","claim_date","claim_area","police_report","claim_type","claim_amount_raw","claim_amount","total_policy_claims_raw","total_policy_claims","fraudulent_raw","is_fraudulent"
54004764,21868593,Driver error,"11/27/2017",2017-11-27,Auto,No,Material only,$2980,2980,"1",1,No,false
33985796,75740424,Crime,"10/03/2018",2018-10-03,Home,Unknown,Material only,$2980,2980,"3",3,No,false
53522022,30308357,Other driver error,"02/02/2018",2018-02-02,Auto,No,Material only,$3369.5,3369.5,"1",1,Yes,true
13015401,47830476,Natural causes,"06/17/2018",2018-06-17,Auto,No,Material only,$1680,1680,"1",1,No,false
22890252,19269962,Crime,"01/13/2018",2018-01-13,Auto,No,Material only,$2680,2680,"1",1,No,false
24050443,21831191,Other driver error,"10/04/2017",2017-10-04,Auto,No,Injury only,$38306.5,38306.5,"3",3,Yes,true
12878692,18401412,Driver error,"01/13/2018",2018-01-13,Auto,No,Material only,$1730,1730,"4",4,No,false
27026412,73486606,Natural causes,"04/10/2018",2018-04-10,Auto,No,Material only,$1160,1160,"3",3,No,false
43908336,32813689,Crime,"02/15/2018",2018-02-15,Auto,Unknown,Material only,$2620,2620,"1",1,No,false
63246959,33507197,Crime,"07/22/2017",2017-07-22,Auto,No,Material only,$2748.5,2748.5,"2",2,Yes,true
74165873,99103685,Other driver error,"01/13/2018",2018-01-13,Home,No,Material only,$1495,1495,"1",1,Yes,true
28564401,51583214,Other driver error,"12/10/2017",2017-12-10,Auto,Unknown,Material and injury,$16690,16690,"1",1,No,false
72738047,35875366,Other driver error,"04/24/2018",2018-04-24,Auto,Unknown,Material only,$1870,1870,"1",1,No,false
53780662,21240703,Other driver error,"09/19/2018",2018-09-19,Auto,Unknown,Material only,$1050,1050,"1",1,No,false
67257404,18288638,Other driver error,"04/24/2018",2018-04-24,Auto,Yes,Injury only,$32560,32560,"1",1,No,false
35489765,63240241,Natural causes,"10/03/2018",2018-10-03,Auto,No,Material only,$2870,2870,"1",1,No,false
12548447,1407979,Driver error,"06/03/2018",2018-06-03,Auto,Unknown,Material only,$3208.5,3208.5,"1",1,Yes,true
7809917,63916778,Other causes,"07/22/2017",2017-07-22,Auto,No,Injury only,$17800,17800,"1",1,No,false
29205389,17004138,Natural causes,"06/25/2017",2017-06-25,Auto,No,Injury only,$31380,31380,"1",1,No,false
19051665,9667764,Other causes,"12/17/2017",2017-12-17,Auto,Yes,Injury only,$36190,36190,"1",1,No,false
32630720,75584003,Crime,"02/03/2017",2017-02-03,Auto,No,Material only,NA,,"1",1,No,false
17910612,90012444,Other driver error,"08/24/2017",2017-08-24,Auto,No,Material only,$1010,1010,"1",1,No,false
46956597,10665308,Natural causes,"07/20/2018",2018-07-20,Auto,No,Material only,NA,,"1",1,No,false
68848682,35597589,Other driver error,"05/29/2017",2017-05-29,Auto,Yes,Injury only,$16830,16830,"1",1,No,false
8782253,1924109,Driver error,"09/14/2017",2017-09-14,Auto,No,Material only,$1690,1690,"1",1,No,false
41262918,12871942,Natural causes,"04/25/2017",2017-04-25,Auto,No,Material only,$2830,2830,"1",1,No,false
71088680,32155446,Driver error,"12/24/2017",2017-12-24,Auto,No,Material and injury,$32640,32640,"4",4,No,false
54764639,35876516,Driver error,"08/10/2018",2018-08-10,Auto,No,Material only,$2870,2870,"1",1,No,false
52278305,13265356,Driver error,"10/17/2017",2017-10-17,Home,No,Material only,$1210,1210,"1",1,No,false
18210740,80379865,Natural causes,"02/09/2018",2018-02-09,Auto,No,Injury only,$18580,18580,NA,,No,false
22215431,64899302,Other driver error,"06/23/2018",2018-06-23,Auto,No,Material only,$2630,2630,"1",1,No,false
10738822,11278282,Natural causes,"08/10/2018",2018-08-10,Auto,No,Material only,$2540,2540,"1",1,No,false
7800059,90425966,Driver error,"03/01/2018",2018-03-01,Auto,No,Material only,$2320,2320,"1",1,No,false
16773361,70459181,Other driver error,"10/10/2017",2017-10-10,Auto,No,Material only,$2725.5,2725.5,"1",1,Yes,true
99427250,91546921,Crime,"05/21/2018",2018-05-21,Home,No,Material only,$2070,2070,"1",1,No,false
70399158,26489135,Driver error,"07/01/2017",2017-07-01,Auto,No,Material only,$1110,1110,"1",1,No,false
5481268,76422302,Crime,"10/31/2017",2017-10-31,Home,No,Material only,$1030,1030,"1",1,No,false
13167216,27205554,Driver error,"05/14/2018",2018-05-14,Auto,No,Injury only,$16910,16910,"1",1,No,false
30942972,60225946,Other causes,"02/17/2017",2017-02-17,Auto,No,Material only,$1890,1890,"1",1,No,false
13578273,34790013,Other driver error,"12/24/2017",2017-12-24,Auto,Yes,Material and injury,$33040,33040,"5",5,No,false
22639991,53333796,Other causes,"10/09/2018",2018-10-09,Auto,Yes,Material and injury,$25320,25320,"1",1,No,false
73894966,28307541,Driver error,"11/27/2017",2017-11-27,Auto,No,Material only,$2340,2340,"1",1,No,false
64959397,85536059,Other driver error,"04/25/2017",2017-04-25,Auto,Yes,Material and injury,$33000,33000,"2",2,No,false
3673097,54642094,Driver error,"04/12/2017",2017-04-12,Auto,No,Injury only,$19960,19960,"1",1,No,false
58245818,47091036,Driver error,"07/27/2018",2018-07-27,Home,No,Injury only,$27230,27230,"1",1,No,false
83744906,48277275,Other driver error,"04/12/2017",2017-04-12,Auto,No,Material and injury,$16150,16150,"1",1,No,false
14836805,75252854,Other driver error,"02/23/2017",2017-02-23,Auto,Yes,Injury only,$32630,32630,"1",1,No,false
28636278,31012778,Other causes,"03/01/2018",2018-03-01,Auto,No,Material only,NA,,"5",5,Yes,true
96749077,84571128,Natural causes,"05/15/2017",2017-05-15,Auto,No,Material only,NA,,"1",1,Yes,true
40638641,38286862,Other causes,"10/31/2017",2017-10-31,Auto,Unknown,Material and injury,$41850,41850,"1",1,No,false
94303580,1163515,Crime,"04/25/2017",2017-04-25,Auto,Yes,Injury only,$30540,30540,"1",1,No,false
39647651,18361978,Other causes,"08/31/2017",2017-08-31,Auto,Unknown,Material and injury,$25576,25576,"7",7,Yes,true
97983922,94953428,Other causes,"06/18/2017",2017-06-18,Auto,No,Material only,$2210,2210,"3",3,No,false
42420540,42333031,Other causes,"02/22/2018",2018-02-22,Auto,Yes,Material and injury,$40820,40820,"3",3,No,false
25108581,91786228,Other driver error,"06/23/2018",2018-06-23,Auto,No,Material only,$1150,1150,"1",1,Yes,true
54192772,61051505,Other driver error,"07/01/2017",2017-07-01,Auto,Unknown,Material and injury,$35765,35765,"1",1,Yes,true
47783756,8132649,Other driver error,"11/20/2017",2017-11-20,Auto,No,Material only,$2470,2470,"1",1,No,false
14730852,49428676,Other causes,"06/17/2018",2018-06-17,Auto,No,Material and injury,$20999,20999,"1",1,Yes,true
37727681,77436411,Other driver error,"02/02/2018",2018-02-02,Auto,Unknown,Material only,$3358,3358,"4",4,Yes,true
87229793,44319192,Other causes,"04/10/2018",2018-04-10,Auto,Yes,Material and injury,$41430,41430,"1",1,No,false
73138939,57510487,Driver error,"12/10/2017",2017-12-10,Auto,No,Material only,$1730,1730,"1",1,No,false
23504103,62797342,Other driver error,"02/09/2018",2018-02-09,Auto,Unknown,Material and injury,$20360,20360,"1",1,No,false
29613369,56923917,Other driver error,"05/21/2018",2018-05-21,Auto,No,Material only,$2870,2870,"4",4,No,false
21972507,83088652,Driver error,"01/14/2017",2017-01-14,Auto,Unknown,Material only,$2910,2910,"1",1,No,false
42737631,53087364,Other causes,"07/22/2017",2017-07-22,Home,No,Material and injury,$33550,33550,"1",1,No,false
95352573,9089663,Other driver error,"11/20/2017",2017-11-20,Auto,No,Material and injury,$33190,33190,"1",1,No,false
43973221,83290720,Driver error,"09/26/2018",2018-09-26,Auto,Yes,Material and injury,NA,,"1",1,No,false
79089153,78364565,Other causes,"02/10/2017",2017-02-10,Auto,Yes,Injury only,$25830,25830,"3",3,No,false
37305754,99761663,Natural causes,"04/04/2018",2018-04-04,Auto,No,Material only,$1242,1242,"1",1,Yes,true
55252454,6298259,Natural causes,"05/29/2017",2017-05-29,Auto,Unknown,Material and injury,$20080,20080,"2",2,No,false
20332975,51936868,Natural causes,"08/16/2018",2018-08-16,Auto,No,Material only,$2120,2120,"1",1,No,false
69101899,35907845,Crime,"05/14/2018",2018-05-14,Auto,Unknown,Material and injury,$19520,19520,"1",1,No,false
49234022,17390816,Natural causes,"03/29/2017",2017-03-29,Auto,No,Material only,$2090,2090,"1",1,No,false
85585944,9908654,Other driver error,"06/23/2018",2018-06-23,Auto,No,Material only,$1989.5,1989.5,"1",1,Yes,true
35407789,47228798,Crime,"01/21/2017",2017-01-21,Auto,Unknown,Material only,NA,,"1",1,Yes,true
26332402,11593991,Other causes,"03/01/2018",2018-03-01,Auto,No,Material only,$2060,2060,"1",1,No,false
50337100,15036122,Other driver error,"07/20/2018",2018-07-20,Auto,Unknown,Injury only,$30080,30080,"1",1,No,false
1886311,59046302,Driver error,"04/04/2018",2018-04-04,Auto,No,Material only,$1680,1680,"6",6,No,false
84635473,74058124,Driver error,"01/13/2018",2018-01-13,Auto,Unknown,Injury only,$21505,21505,"1",1,Yes,true
99210077,95221640,Crime,"05/21/2018",2018-05-21,Auto,No,Material only,$2040,2040,"1",1,No,false
57876931,5956033,Other driver error,"02/09/2018",2018-02-09,Auto,No,Material and injury,NA,,"1",1,Yes,true
11951632,91462331,Driver error,"02/15/2018",2018-02-15,Auto,Unknown,Material and injury,$42722.5,42722.5,"1",1,Yes,true
